images,labels
"[[[ 98 116 127]
  [ 61  83  95]
  [ 66  86 103]
  ..., 
  [ 86  99 113]
  [ 87  98 115]
  [ 86  88 108]]

 [[ 65  89 103]
  [ 69  88 102]
  [ 69  89 106]
  ..., 
  [ 81  93 104]
  [ 90 100 120]
  [ 89  94 119]]

 [[ 71  92 109]
  [ 64  91 103]
  [ 70  90 107]
  ..., 
  [ 89 100 114]
  [ 87  97 115]
  [ 86  93 112]]

 ..., 
 [[111 133 161]
  [105 129 151]
  [111 135 157]
  ..., 
  [ 72  39  53]
  [ 60  39  40]
  [ 63  45  48]]

 [[100 124 152]
  [116 141 166]
  [111 137 162]
  ..., 
  [ 70  34  45]
  [ 64  34  36]
  [ 62  33  38]]

 [[107 132 158]
  [111 134 160]
  [111 134 160]
  ..., 
  [ 68  36  37]
  [ 70  39  42]
  [ 64  34  43]]]",0
"[[[ 76  94 105]
  [ 63  80  97]
  [ 69  86 103]
  ..., 
  [ 74  86  98]
  [ 72  82  99]
  [ 80  86 102]]

 [[ 60  73  86]
  [ 89  96 114]
  [ 59  74  94]
  ..., 
  [ 82  95 103]
  [ 56  67  86]
  [ 87  97 117]]

 [[ 64  76  94]
  [ 86 100 123]
  [ 75  91 114]
  ..., 
  [ 96 109 124]
  [ 88 100 122]
  [ 86  96 113]]

 ..., 
 [[113 137 155]
  [107 132 152]
  [108 132 156]
  ..., 
  [ 81  44  60]
  [ 63  30  35]
  [ 57  29  28]]

 [[102 127 148]
  [112 138 157]
  [110 134 158]
  ..., 
  [ 72  36  48]
  [ 65  31  39]
  [ 57  32  31]]

 [[101 126 146]
  [109 136 155]
  [110 134 157]
  ..., 
  [ 71  37  39]
  [ 70  41  52]
  [ 66  43  48]]]",0
"[[[ 80 100 117]
  [ 73  86 101]
  [ 66  87 104]
  ..., 
  [ 82  96 111]
  [ 84  96 114]
  [ 76  89 111]]

 [[ 64  85 107]
  [ 76  88 104]
  [ 55  79  85]
  ..., 
  [ 73  88 104]
  [ 68  85 108]
  [ 84  98 125]]

 [[ 66  85 112]
  [ 63  79  94]
  [ 69  90  95]
  ..., 
  [ 93 105 122]
  [ 94  99 123]
  [ 76  87 111]]

 ..., 
 [[124 142 164]
  [113 134 152]
  [115 135 152]
  ..., 
  [ 66  37  46]
  [ 62  33  47]
  [ 60  29  34]]

 [[106 127 155]
  [110 135 154]
  [111 136 152]
  ..., 
  [ 77  42  54]
  [ 57  28  37]
  [ 56  34  37]]

 [[111 132 149]
  [114 141 154]
  [115 141 156]
  ..., 
  [ 68  34  41]
  [ 72  44  48]
  [ 60  40  45]]]",0
"[[[ 88 103 123]
  [ 75  93 106]
  [ 61  87 101]
  ..., 
  [ 87 101 120]
  [ 87  98 122]
  [ 75  79 109]]

 [[ 61  78  98]
  [ 69  86  99]
  [ 61  90  99]
  ..., 
  [ 80  90 113]
  [ 87  97 124]
  [ 86  93 123]]

 [[ 71  91 108]
  [ 66  88 101]
  [ 63  92 101]
  ..., 
  [ 84  94 112]
  [ 88  94 116]
  [ 80  85 115]]

 ..., 
 [[120 139 162]
  [107 132 154]
  [121 141 166]
  ..., 
  [ 75  44  53]
  [ 56  32  38]
  [ 73  40  47]]

 [[108 132 156]
  [115 140 160]
  [110 135 155]
  ..., 
  [ 73  43  55]
  [ 52  29  33]
  [ 70  42  49]]

 [[110 134 151]
  [112 138 154]
  [113 137 158]
  ..., 
  [ 70  39  46]
  [ 54  33  39]
  [ 56  29  35]]]",0
"[[[ 94 116 126]
  [ 64  90 100]
  [ 65  82  95]
  ..., 
  [ 84  94 112]
  [ 72  87  99]
  [ 76  88 100]]

 [[ 39  62  57]
  [ 74  90 102]
  [ 69  92 106]
  ..., 
  [ 81  91 110]
  [ 84  95 113]
  [ 97 107 124]]

 [[ 67  86  91]
  [ 76  91 106]
  [ 65  84  97]
  ..., 
  [ 85  96 119]
  [ 87  95 115]
  [ 80  90 107]]

 ..., 
 [[112 132 158]
  [114 135 156]
  [115 143 154]
  ..., 
  [ 70  40  45]
  [ 63  39  44]
  [ 69  39  44]]

 [[115 133 162]
  [120 140 161]
  [120 147 157]
  ..., 
  [ 70  40  48]
  [ 55  34  36]
  [ 80  50  56]]

 [[116 134 163]
  [117 137 155]
  [117 141 155]
  ..., 
  [ 66  34  44]
  [ 57  35  44]
  [ 65  37  48]]]",0
"[[[ 99 115 128]
  [ 63  82  95]
  [ 62  76  98]
  ..., 
  [ 76  85  95]
  [ 76  87  94]
  [ 84  95 109]]

 [[ 71  88  97]
  [ 70  88 101]
  [ 82  99 113]
  ..., 
  [ 87  93 107]
  [ 75  83  93]
  [ 86  96 109]]

 [[ 73  87  99]
  [ 79  89 104]
  [ 61  76  92]
  ..., 
  [ 93  97 115]
  [ 82  89 100]
  [ 91 100 113]]

 ..., 
 [[112 131 158]
  [110 136 156]
  [112 140 151]
  ..., 
  [ 63  30  34]
  [ 73  40  45]
  [ 73  39  45]]

 [[112 128 157]
  [106 130 152]
  [112 138 150]
  ..., 
  [ 74  46  48]
  [ 68  40  42]
  [ 63  31  36]]

 [[119 133 162]
  [113 134 157]
  [115 139 151]
  ..., 
  [ 67  38  35]
  [ 55  30  29]
  [ 63  36  40]]]",0
"[[[ 81  99 114]
  [ 65  82  97]
  [ 76  89 107]
  ..., 
  [ 92 100 113]
  [ 70  81  90]
  [ 76  87 104]]

 [[ 73  87 103]
  [ 61  78  95]
  [ 69  92 109]
  ..., 
  [ 89  94 109]
  [ 84  92 106]
  [ 88 100 118]]

 [[ 68  81  95]
  [ 78  95 111]
  [ 65  88 103]
  ..., 
  [ 95  99 117]
  [ 84  92 109]
  [ 85  99 118]]

 ..., 
 [[111 134 156]
  [109 134 155]
  [109 134 151]
  ..., 
  [ 64  33  36]
  [ 70  39  42]
  [ 73  39  45]]

 [[112 137 155]
  [101 126 145]
  [114 138 155]
  ..., 
  [ 78  48  52]
  [ 65  36  40]
  [ 68  37  39]]

 [[111 135 158]
  [110 136 153]
  [111 135 153]
  ..., 
  [ 60  27  33]
  [ 50  24  28]
  [ 64  36  35]]]",0
"[[[ 69  89  99]
  [ 83 100 112]
  [ 75  85 100]
  ..., 
  [ 86  91 106]
  [ 93  97 111]
  [ 93 100 117]]

 [[ 61  77  84]
  [ 63  77  89]
  [ 70  80  97]
  ..., 
  [ 78  81 104]
  [ 91  94 116]
  [ 83  88 112]]

 [[ 78  87  97]
  [ 72  87  96]
  [ 74  87 103]
  ..., 
  [ 92  99 124]
  [ 96 103 128]
  [ 91 100 120]]

 ..., 
 [[114 130 147]
  [114 131 146]
  [118 134 149]
  ..., 
  [ 68  34  40]
  [ 71  42  46]
  [ 58  32  42]]

 [[118 139 154]
  [122 147 160]
  [117 143 160]
  ..., 
  [ 71  39  44]
  [ 67  41  44]
  [ 67  48  48]]

 [[117 143 157]
  [105 132 145]
  [117 143 160]
  ..., 
  [ 72  41  48]
  [ 65  37  43]
  [ 58  37  39]]]",0
"[[[ 88 100 111]
  [ 55  68  76]
  [ 86 101 113]
  ..., 
  [ 91  94 120]
  [ 97 106 124]
  [ 87  94 113]]

 [[ 72  80  94]
  [ 65  82  89]
  [ 71  92 107]
  ..., 
  [ 84  89 113]
  [ 81  93 110]
  [ 78  87 107]]

 [[ 83  87  99]
  [ 82  91 110]
  [ 78  98 116]
  ..., 
  [ 90 105 121]
  [ 89 100 120]
  [ 87  95 118]]

 ..., 
 [[119 138 151]
  [114 137 158]
  [115 135 160]
  ..., 
  [ 70  34  40]
  [ 64  28  34]
  [ 69  42  45]]

 [[113 134 149]
  [118 140 161]
  [116 136 160]
  ..., 
  [ 75  39  45]
  [ 73  38  44]
  [ 59  29  34]]

 [[119 142 158]
  [116 139 159]
  [109 130 152]
  ..., 
  [ 85  57  61]
  [ 52  26  30]
  [ 65  41  45]]]",0
"[[[ 76 102 113]
  [ 71  98 112]
  [ 71  97 109]
  ..., 
  [ 81  96 109]
  [ 89  93 103]
  [ 84 101 110]]

 [[ 77  94 101]
  [ 79  98 109]
  [ 60  81  93]
  ..., 
  [ 85  98 120]
  [100 102 118]
  [ 85  96 110]]

 [[ 43  56  68]
  [ 70  87 100]
  [ 72  91 104]
  ..., 
  [ 99 113 135]
  [111 117 134]
  [ 90 101 115]]

 ..., 
 [[124 142 165]
  [125 144 166]
  [128 146 163]
  ..., 
  [ 84  57  60]
  [ 65  36  36]
  [ 79  48  55]]

 [[130 150 172]
  [127 141 163]
  [125 135 160]
  ..., 
  [ 73  49  51]
  [ 62  35  32]
  [ 65  35  40]]

 [[120 147 161]
  [124 142 160]
  [123 144 162]
  ..., 
  [ 83  57  63]
  [ 57  31  32]
  [ 72  41  48]]]",0
"[[[ 83 111 121]
  [ 61  79  96]
  [ 71  86 110]
  ..., 
  [ 71  81 102]
  [ 71  86  99]
  [ 93 108 118]]

 [[ 90 115 119]
  [ 86 107 116]
  [ 89 106 114]
  ..., 
  [ 85  96 111]
  [ 86  96 111]
  [ 86  99 114]]

 [[ 78  96 107]
  [ 64  82  93]
  [ 86 101 110]
  ..., 
  [ 96 105 119]
  [105 110 130]
  [ 91 105 121]]

 ..., 
 [[118 144 158]
  [126 152 169]
  [121 146 167]
  ..., 
  [ 85  47  65]
  [ 60  27  34]
  [ 77  52  56]]

 [[125 149 171]
  [122 144 170]
  [118 139 166]
  ..., 
  [ 93  56  75]
  [ 69  32  49]
  [ 72  43  52]]

 [[116 140 158]
  [127 150 168]
  [126 140 168]
  ..., 
  [ 92  61  67]
  [ 69  32  54]
  [ 68  35  49]]]",0
"[[[ 91 109 123]
  [ 73  85 100]
  [ 71  91 108]
  ..., 
  [ 63  76  94]
  [ 93 107 125]
  [ 94 117 132]]

 [[ 61  85  98]
  [ 80  97 114]
  [ 86 104 121]
  ..., 
  [ 71  88 105]
  [ 98 111 130]
  [ 76  93 115]]

 [[ 61  82  97]
  [ 72  90 106]
  [ 77  92 111]
  ..., 
  [ 96 107 131]
  [ 86  98 127]
  [ 66  85 112]]

 ..., 
 [[ 97 118 146]
  [124 144 170]
  [126 143 169]
  ..., 
  [ 80  57  62]
  [ 73  49  63]
  [ 62  41  43]]

 [[120 148 175]
  [117 140 167]
  [126 147 174]
  ..., 
  [ 74  52  64]
  [ 64  38  55]
  [ 59  36  42]]

 [[107 137 166]
  [113 143 171]
  [116 142 172]
  ..., 
  [ 91  62  78]
  [ 79  53  72]
  [ 57  31  40]]]",0
"[[[ 77 100 117]
  [ 62  87  93]
  [ 72  98 113]
  ..., 
  [ 75  88 115]
  [ 81  91 119]
  [ 99 109 128]]

 [[ 65  86 107]
  [ 76 103 113]
  [ 70  95 113]
  ..., 
  [ 85 100 131]
  [ 91 111 138]
  [ 83 105 133]]

 [[ 61  87 100]
  [ 72  97 109]
  [ 76 101 119]
  ..., 
  [ 92 109 129]
  [ 79  94 122]
  [ 88 105 132]]

 ..., 
 [[107 135 166]
  [122 149 176]
  [121 146 172]
  ..., 
  [ 76  48  67]
  [ 74  47  61]
  [ 69  41  47]]

 [[108 142 173]
  [115 142 169]
  [112 139 166]
  ..., 
  [ 56  24  37]
  [ 71  38  53]
  [ 63  32  42]]

 [[113 142 169]
  [118 142 172]
  [112 141 168]
  ..., 
  [ 83  53  58]
  [ 68  36  43]
  [ 65  33  48]]]",0
"[[[ 67  92 112]
  [ 59  86 101]
  [ 44  71  90]
  ..., 
  [ 84  98 129]
  [ 82  91 120]
  [ 96 104 133]]

 [[ 66  86 110]
  [ 75  99 116]
  [ 67  91 114]
  ..., 
  [ 82  95 129]
  [ 89  99 127]
  [101 110 137]]

 [[ 64  90 105]
  [ 67  88 110]
  [ 80 102 127]
  ..., 
  [ 98 112 140]
  [ 85  95 121]
  [ 92 101 128]]

 ..., 
 [[110 136 165]
  [118 146 172]
  [115 145 170]
  ..., 
  [ 69  43  58]
  [ 76  50  64]
  [ 58  40  46]]

 [[115 145 172]
  [115 143 170]
  [120 146 172]
  ..., 
  [ 66  38  45]
  [ 68  41  50]
  [ 60  40  40]]

 [[114 143 174]
  [118 145 177]
  [115 140 173]
  ..., 
  [ 77  48  60]
  [ 60  34  40]
  [ 68  47  49]]]",0
"[[[ 76 105 120]
  [ 59  84  96]
  [ 58  78  95]
  ..., 
  [ 88 102 131]
  [ 83  92 119]
  [104 113 140]]

 [[ 65  90 106]
  [ 71  98 110]
  [ 74  96 114]
  ..., 
  [ 98 112 146]
  [ 89 102 130]
  [100 112 140]]

 [[ 69  92 108]
  [ 62  85 105]
  [ 79  98 119]
  ..., 
  [ 90 109 135]
  [ 82  97 125]
  [ 97 111 140]]

 ..., 
 [[114 142 166]
  [118 144 172]
  [113 142 169]
  ..., 
  [ 80  49  64]
  [ 66  44  52]
  [ 70  48  52]]

 [[120 149 174]
  [116 142 170]
  [117 144 171]
  ..., 
  [ 77  47  52]
  [ 61  38  42]
  [ 58  30  31]]

 [[113 149 179]
  [114 144 176]
  [114 144 175]
  ..., 
  [ 72  42  57]
  [ 69  42  62]
  [ 74  48  65]]]",0
"[[[ 94 116 128]
  [ 66  84 103]
  [ 73  92 119]
  ..., 
  [ 86 105 133]
  [ 74  88 111]
  [ 92 103 130]]

 [[ 60  82  94]
  [ 67  90 107]
  [ 67  88 111]
  ..., 
  [ 91 112 140]
  [ 83 101 129]
  [ 84 102 128]]

 [[ 73  93 111]
  [ 63  83 105]
  [ 72  96 114]
  ..., 
  [ 83 103 128]
  [ 92 110 139]
  [ 88 108 133]]

 ..., 
 [[115 142 168]
  [121 147 174]
  [114 143 170]
  ..., 
  [ 89  59  83]
  [ 78  46  63]
  [ 65  41  52]]

 [[120 148 175]
  [116 144 171]
  [114 143 170]
  ..., 
  [ 75  46  61]
  [ 67  41  52]
  [ 63  39  43]]

 [[111 144 170]
  [113 144 170]
  [116 143 170]
  ..., 
  [ 57  30  48]
  [ 60  39  56]
  [ 65  47  60]]]",0
"[[[ 95 120 132]
  [ 65  85 104]
  [ 73  90 116]
  ..., 
  [ 84  99 127]
  [ 84  93 121]
  [ 98 106 137]]

 [[ 67  90 105]
  [ 66  88 105]
  [ 71  92 112]
  ..., 
  [ 90 104 132]
  [ 80  95 117]
  [ 85 103 124]]

 [[ 74  95 120]
  [ 77  96 120]
  [ 78 103 119]
  ..., 
  [ 92 104 133]
  [103 114 147]
  [ 91 108 136]]

 ..., 
 [[114 145 170]
  [113 145 171]
  [115 149 175]
  ..., 
  [ 78  54  66]
  [ 76  49  62]
  [ 73  44  62]]

 [[118 150 172]
  [111 142 168]
  [114 141 171]
  ..., 
  [ 70  48  51]
  [ 66  38  49]
  [ 67  39  52]]

 [[109 146 172]
  [113 144 172]
  [116 145 172]
  ..., 
  [ 64  34  44]
  [ 68  44  57]
  [ 66  44  54]]]",0
"[[[ 87 108 122]
  [ 69  94 108]
  [ 60  81 103]
  ..., 
  [ 89 100 124]
  [ 97 106 129]
  [ 97 104 129]]

 [[ 79 102 112]
  [ 63  83  98]
  [ 61  82 103]
  ..., 
  [ 99 111 136]
  [ 93 108 131]
  [ 87 102 125]]

 [[ 92 118 133]
  [ 73  92 110]
  [ 79 102 117]
  ..., 
  [ 95 108 140]
  [ 94 110 138]
  [ 85 103 130]]

 ..., 
 [[114 144 172]
  [113 141 168]
  [120 145 177]
  ..., 
  [ 69  44  64]
  [ 73  51  58]
  [ 61  37  49]]

 [[121 154 173]
  [117 144 170]
  [121 142 170]
  ..., 
  [ 64  41  56]
  [ 61  37  46]
  [ 60  40  48]]

 [[108 143 164]
  [116 146 169]
  [113 140 166]
  ..., 
  [ 67  36  47]
  [ 66  42  51]
  [ 65  47  61]]]",0
"[[[ 85 108 130]
  [ 64  89 108]
  [ 72  92 118]
  ..., 
  [ 70  90 115]
  [ 82 101 124]
  [ 87  99 123]]

 [[ 82 105 127]
  [ 61  84 105]
  [ 67  90 116]
  ..., 
  [ 69  91 116]
  [ 89 111 135]
  [102 119 140]]

 [[ 72  95 117]
  [ 81 102 123]
  [ 82 106 123]
  ..., 
  [ 78 100 125]
  [ 87 107 131]
  [ 82  96 118]]

 ..., 
 [[105 145 164]
  [109 144 169]
  [115 148 174]
  ..., 
  [ 67  42  57]
  [ 67  43  57]
  [ 76  50  68]]

 [[104 145 169]
  [109 144 168]
  [113 147 171]
  ..., 
  [ 70  44  57]
  [ 64  39  52]
  [ 60  35  47]]

 [[119 149 176]
  [112 141 170]
  [117 147 175]
  ..., 
  [ 72  43  58]
  [ 62  34  50]
  [ 68  42  55]]]",0
"[[[ 99 121 139]
  [ 71  91 109]
  [ 72  91 119]
  ..., 
  [ 84 106 131]
  [ 77 101 120]
  [ 90 106 124]]

 [[ 77 100 120]
  [ 72  94 114]
  [ 55  76  98]
  ..., 
  [ 74  95 123]
  [ 85 102 127]
  [ 98 115 145]]

 [[ 66  93 114]
  [ 74  96 123]
  [ 79 102 128]
  ..., 
  [ 80 100 132]
  [ 97 108 139]
  [ 79 103 128]]

 ..., 
 [[111 144 169]
  [111 148 173]
  [109 146 174]
  ..., 
  [ 68  45  59]
  [ 58  39  48]
  [ 79  57  69]]

 [[113 150 172]
  [108 142 165]
  [114 148 174]
  ..., 
  [ 63  40  54]
  [ 64  44  56]
  [ 52  32  42]]

 [[112 142 169]
  [121 146 172]
  [114 144 172]
  ..., 
  [ 66  42  54]
  [ 60  40  52]
  [ 47  27  40]]]",0
"[[[103 124 150]
  [ 65  84 110]
  [ 71  89 120]
  ..., 
  [ 83 100 125]
  [ 90 106 128]
  [ 80  95 117]]

 [[ 73  97 115]
  [ 69  91 108]
  [ 65  89 108]
  ..., 
  [ 90 105 133]
  [ 94 111 140]
  [ 88 106 137]]

 [[ 60  83 105]
  [ 83 105 126]
  [ 64  89 105]
  ..., 
  [ 82  98 127]
  [ 86 102 132]
  [ 89 110 138]]

 ..., 
 [[113 150 168]
  [110 150 169]
  [106 143 171]
  ..., 
  [ 67  41  54]
  [ 65  44  51]
  [ 80  57  65]]

 [[107 143 166]
  [109 147 167]
  [115 147 176]
  ..., 
  [ 64  41  55]
  [ 64  44  56]
  [ 60  39  48]]

 [[116 144 174]
  [118 144 170]
  [114 141 171]
  ..., 
  [ 63  42  57]
  [ 70  49  65]
  [ 47  26  41]]]",0
"[[[ 70  92 105]
  [ 83 105 120]
  [ 83 106 126]
  ..., 
  [ 74  88 117]
  [ 74  89 117]
  [ 80  92 121]]

 [[ 75  94 115]
  [ 71  91 115]
  [ 67  92 110]
  ..., 
  [ 83  96 123]
  [ 94 111 138]
  [ 92 104 133]]

 [[ 65  81 104]
  [ 78  93 115]
  [ 71  91 109]
  ..., 
  [ 92 105 127]
  [ 89 104 128]
  [ 85  99 122]]

 ..., 
 [[109 143 166]
  [119 148 169]
  [115 140 166]
  ..., 
  [ 78  52  58]
  [ 60  32  40]
  [ 77  49  57]]

 [[110 146 166]
  [115 147 166]
  [114 141 165]
  ..., 
  [ 72  45  62]
  [ 62  35  49]
  [ 67  40  51]]

 [[109 142 168]
  [112 144 171]
  [116 147 176]
  ..., 
  [ 67  41  58]
  [ 60  32  47]
  [ 59  29  38]]]",0
